agent,seed,episodes,steps,risk_scale,reward_total,reward_env_total,filename
simbiosis,101,200,,1.2,-68.7433,-68.74329999999992,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed101_m0p0_v11_episodes.csv
simbiosis,101,200,,1.2,-38.22453984857916,-68.74329999999992,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed101_m0p2_v11_episodes.csv
simbiosis,13,200,,1.2,-68.58229999999999,-68.58230000000002,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed13_m0p0_v11_episodes.csv
simbiosis,13,200,,1.2,-38.19724856844569,-68.58230000000002,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed13_m0p2_v11_episodes.csv
simbiosis,42,200,,1.2,-69.59015,-69.59014999999997,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed42_m0p0_v11_episodes.csv
simbiosis,42,200,,1.2,-45.02704500187437,-69.59014999999997,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed42_m0p2_v11_episodes.csv
simbiosis,7,200,,1.2,-71.67795,-71.67795000000005,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed7_m0p0_v11_episodes.csv
simbiosis,7,200,,1.2,-54.66868983777627,-71.67795000000005,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed7_m0p2_v11_episodes.csv
simbiosis,99,200,,1.2,-67.8483,-67.84830000000008,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed99_m0p0_v11_episodes.csv
simbiosis,99,200,,1.2,-35.819981557779414,-67.84830000000008,results\v11\F3\F2_redteam\grid16\riskhigh\simbiosis\grid16_riskhigh_r1p2_f2rt0p1_seed99_m0p2_v11_episodes.csv
control,101,200,,1.2,-71.92815,-71.92815,results\v11\F3\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_f2rt0p1_seed101_m0p0_v11_episodes.csv
control,13,200,,1.2,-72.13870000000001,-72.13870000000016,results\v11\F3\F2_redteam\grid8\riskhigh\control\grid8_riskhigh_r1p2_f2rt0p1_seed13_m0p0_v11_episodes.csv
