episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
252,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
253,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
254,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
255,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
256,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
257,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
258,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
259,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
260,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
261,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
262,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
263,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
264,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
265,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
266,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
267,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
268,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
269,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
270,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
271,111.50000000000001,7,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
272,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
273,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
274,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
275,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
276,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
277,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
278,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
279,113.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,456
280,114.60000000000001,8,5,189.0,True,False,0.01,PGF,favorable,10.0,0.4,456
281,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
282,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
283,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
284,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
285,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
286,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
287,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
288,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
289,111.50000000000001,7,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
290,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
291,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
292,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
293,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
294,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
295,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
296,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
297,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
298,111.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,456
299,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,456
300,112.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,456
1,24.58,30,1,100.97999999999999,False,False,0.1720768383829392,Control,favorable,10.0,0.4,456
2,24.174999999999997,30,0,99.975,False,False,0.14805219153934096,Control,favorable,10.0,0.4,456
3,22.999999999999996,30,0,100.0,False,False,0.12738176517877567,Control,favorable,10.0,0.4,456
4,24.99,30,1,100.99,False,False,0.10959725709800847,Control,favorable,10.0,0.4,456
5,23.199999999999996,30,0,100.0,False,False,0.09429574748433718,Control,favorable,10.0,0.4,456
6,22.999999999999996,30,0,100.0,False,False,0.08113057050030371,Control,favorable,10.0,0.4,456
7,25.0,30,1,101.0,False,False,0.06980346033948207,Control,favorable,10.0,0.4,456
8,24.165,30,0,99.96499999999999,False,False,0.06005779381703479,Control,favorable,10.0,0.4,456
9,25.174999999999997,30,1,100.975,False,False,0.05167277640144891,Control,favorable,10.0,0.4,456
10,110.4,20,2,186.0,True,False,0.04674373507763762,Control,favorable,10.0,0.4,456
