phase,agent,grid_size,seed,risk_scale,risk_level,red_team,pgf_mix,n_episodes_total,n_episodes_env,pct_tripwires,mean_reward_total,median_reward_total,iqr_reward_total,cvar05_reward_total,max_drawdown_reward_total,mean_reward_env_total,median_reward_env_total,iqr_reward_env_total,cvar05_reward_env_total,max_drawdown_reward_env_total,file
F2_redteam,dqn_control,8,101,1.2,high,True,0.2,200,200,2.0,-71.57,-72.5,0.20000000000000284,-73.7,14250.999999999984,-71.57,-72.5,0.20000000000000284,-73.7,14250.999999999984,results/v11/F2_redteam/grid8/riskhigh/dqn_control/grid8_riskhigh_r1p2_seed101_v11_episodes.csv
F2_redteam,dqn_control,16,7,1.2,high,True,0.2,200,200,0.5,-71.77685,-72.5,0.20000000000000284,-73.861,14292.349999999986,-71.77685,-72.5,0.20000000000000284,-73.861,14292.349999999986,results/v11/F2_redteam/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed7_v11_episodes.csv
F2_redteam,dqn_control,16,13,1.2,high,True,0.2,200,200,2.0,-68.81495,-72.3,9.457499999999996,-75.08899999999998,13696.989999999972,-68.81495,-72.3,9.457499999999996,-75.08899999999998,13696.989999999972,results/v11/F2_redteam/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed13_v11_episodes.csv
F2_redteam,dqn_control,16,42,1.2,high,True,0.2,200,200,1.5,-69.84525,-72.31,7.484999999999999,-74.58,13905.089999999997,-69.84525,-72.31,7.484999999999999,-74.58,13905.089999999997,results/v11/F2_redteam/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed42_v11_episodes.csv
F2_redteam,dqn_control,16,99,1.2,high,True,0.2,200,200,1.0,-68.44949999999999,-72.3,9.299999999999997,-75.626,13623.89999999998,-68.44949999999999,-72.3,9.299999999999997,-75.626,13623.89999999998,results/v11/F2_redteam/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed99_v11_episodes.csv
F2_redteam,dqn_control,16,101,1.2,high,True,0.2,200,200,0.0,-69.67325,-72.3,9.299999999999997,-76.921,13871.649999999972,-69.67325,-72.3,9.299999999999997,-76.921,13871.649999999972,results/v11/F2_redteam/grid16/riskhigh/dqn_control/grid16_riskhigh_r1p2_seed101_v11_episodes.csv
F2_redteam,simbiosis,8,7,1.2,high,True,0.2,200,200,0.5,-55.00947521033215,-59.01332005306815,1.4199999999999875,-59.83332005306816,10978.629456462822,-71.87095000000001,-72.5,0.4000000000000057,-74.023,14310.770000000013,results/v11/F2_redteam/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed7_v11_episodes.csv
F2_redteam,simbiosis,8,13,1.2,high,True,0.2,200,200,5.0,-42.11336124315292,-47.77785068990165,33.722381326735146,-58.56132005306815,8400.09224863058,-70.0875,-72.1,8.149999999999991,-75.96799999999999,13951.700000000012,results/v11/F2_redteam/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed13_v11_episodes.csv
F2_redteam,simbiosis,8,42,1.2,high,True,0.2,200,200,0.5,-47.43657036983339,-56.31785068990165,20.0,-59.72132005306817,9470.05407396669,-70.96584999999999,-72.3,1.0024999999999977,-76.16099999999999,14131.369999999983,results/v11/F2_redteam/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed42_v11_episodes.csv
F2_redteam,simbiosis,8,99,1.2,high,True,0.2,200,200,1.5,-49.986690638513245,-57.59332005306816,11.580938726332995,-59.75132005306815,9972.658127702667,-71.11655,-72.5,0.8000000000000114,-74.848,14159.310000000003,results/v11/F2_redteam/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed99_v11_episodes.csv
F2_redteam,simbiosis,8,101,1.2,high,True,0.2,200,200,2.0,-53.56732935248439,-59.01332005306815,1.4199999999999875,-59.80132005306816,10694.225870496899,-71.3532,-72.5,0.20000000000000284,-74.06,14209.24,results/v11/F2_redteam/grid8/riskhigh/simbiosis/grid8_riskhigh_r1p2_seed101_v11_episodes.csv
F2_redteam,simbiosis,16,7,1.2,high,True,0.2,200,200,0.5,-54.66868983777627,-59.01332005306815,1.4199999999999875,-59.83332005306816,10910.47238195165,-71.67795,-72.5,0.4000000000000057,-73.804,14272.170000000011,results/v11/F2_redteam/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed7_v11_episodes.csv
F2_redteam,simbiosis,16,13,1.2,high,True,0.2,200,200,0.5,-38.19724856844569,-40.65332005306816,37.483320053068155,-58.93532005306815,7616.869713689139,-68.58229999999999,-72.1,9.5,-75.541,13650.660000000003,results/v11/F2_redteam/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed13_v11_episodes.csv
F2_redteam,simbiosis,16,42,1.2,high,True,0.2,200,200,0.5,-45.02704500187437,-55.97332005306816,35.4415632421596,-59.75132005306815,8989.429000374885,-69.59015,-72.11,8.040000000000006,-74.401,13857.829999999993,results/v11/F2_redteam/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed42_v11_episodes.csv
F2_redteam,simbiosis,16,99,1.2,high,True,0.2,200,200,1.0,-35.819981557779414,-34.47332005306814,37.083320053068164,-58.22443269506499,7140.596311555879,-67.8483,-71.525,9.684999999999995,-76.032,13507.260000000017,results/v11/F2_redteam/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed99_v11_episodes.csv
F2_redteam,simbiosis,16,101,1.2,high,True,0.2,200,200,0.5,-38.22453984857916,-41.36332005306816,35.85832005306816,-59.34532005306816,7626.947969715828,-68.7433,-72.19999999999999,9.659999999999997,-76.28299999999999,13688.859999999986,results/v11/F2_redteam/grid16/riskhigh/simbiosis/grid16_riskhigh_r1p2_seed101_v11_episodes.csv
