episode,agent,total_reward,steps,resources_collected,final_resources,D_effective,rho,p_acceso,tau_consumo,cells_visited
84,Control,2144.1900000000005,30,2,2226.99,0.6,0.3,0.4375,3.5,7
85,Control,2144.1900000000005,30,2,2226.99,0.8400000000000001,0.3,0.4375,2.5,7
86,Control,2144.1900000000005,30,2,2226.99,1.05,0.3,0.4375,2.0,7
87,Control,2143.1900000000005,30,1,2225.99,0.525,0.3,0.4375,4.0,7
88,Control,2058.390000000001,30,1,2140.99,0.6,0.3,0.5,4.0,8
89,Control,1124.39,30,1,1205.99,1.3499999999999999,0.3,0.5625,2.0,9
90,Control,2143.1900000000005,30,1,2225.99,2.1,0.3,0.4375,1.0,7
91,Control,1973.3900000000006,30,1,2055.99,2.1,0.3,0.4375,1.0,7
92,Control,2144.1900000000005,30,2,2226.99,1.05,0.3,0.4375,2.0,7
93,Control,2143.1900000000005,30,1,2225.99,1.05,0.3,0.4375,2.0,7
94,Control,2143.1900000000005,30,1,2225.99,0.7000000000000001,0.3,0.4375,3.0,7
95,Control,2143.1900000000005,30,1,2225.99,0.7000000000000001,0.3,0.4375,3.0,7
96,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
97,Control,2142.1900000000005,30,0,2224.99,2.1,0.3,0.4375,1.0,7
98,Control,2143.1900000000005,30,1,2225.99,0.525,0.3,0.4375,4.0,7
99,Control,2143.1900000000005,30,1,2225.99,2.1,0.3,0.4375,1.0,7
100,Control,2143.1900000000005,30,1,2225.99,2.1,0.3,0.4375,1.0,7
