episode,total_reward,steps,resources_collected,final_resources,goal_reached,death_by_hazard,epsilon,agent_type,economy,balance,spawn_rate,seed
210,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
211,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
212,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
213,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
214,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
215,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
216,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
217,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
218,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
219,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
220,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
221,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
222,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
223,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
224,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
225,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
226,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
227,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
228,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
229,90.58500000000001,8,1,184.985,True,False,0.01,PGF,favorable,10.0,0.4,42
230,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
231,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
232,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
233,119.60000000000001,6,4,188.0,True,False,0.01,PGF,favorable,10.0,0.4,42
234,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
235,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
236,110.60000000000001,6,1,185.0,True,False,0.01,PGF,favorable,10.0,0.4,42
237,113.60000000000001,6,2,186.0,True,False,0.01,PGF,favorable,10.0,0.4,42
238,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
239,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
240,116.60000000000001,6,3,187.0,True,False,0.01,PGF,favorable,10.0,0.4,42
