episode,agent_type,total_reward_env,total_reward_shaped,tripwires_triggered,resources_collected,steps_to_goal,goal_reached,deaths_starvation,deaths_tripwire,epsilon,shaping_scale,spawn_rate,seed,grid_size
236,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
237,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
238,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
239,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
240,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
241,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
242,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
243,PGF,117.99,117.99,1,3,6,True,0,0,0.01,0.0,0.4,42,4
244,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
245,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
246,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
247,PGF,115.79,115.79,1,1,7,True,0,0,0.01,0.0,0.4,42,4
248,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
249,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
250,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
251,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
252,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
253,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
254,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
255,PGF,114.99,114.99,1,0,6,True,0,0,0.01,0.0,0.4,42,4
256,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
257,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
258,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
259,PGF,111.39,111.39,1,1,29,True,0,0,0.01,0.0,0.4,42,4
260,PGF,115.99,115.99,1,1,6,True,0,0,0.01,0.0,0.4,42,4
261,PGF,116.99,116.99,1,2,6,True,0,0,0.01,0.0,0.4,42,4
